station_key,station_id,station_name,total_start_count,total_end_count,latitude,longitude,full_address
3ccb4a7aaafb37ab146f8e2a53be0ebe,200195,"St Martins Close, Camden Town",1072,925,,,
cc73b2c2a0935d4ae55395711e9ef7f2,1091,"St. John's Wood Church, The Regent's Park",2608,1725,,,
bcc123ced063aad57bc8758458c01e9c,247,"St. John's Wood Church, The Regent's Park",77444,61337,,,
2f402a0552da4476cc444ecf223911af,300207,"Stockwell Roundabout, Stockwell",3793,3737,,,
3a94d40eb711c150da944cceb3b8ea5d,808,"Stockwell Roundabout, Stockwell",45543,47261,,,
5332ed79ec2b9167696ce6953e7d53ca,315,"The Tennis Courts, Regent's Park",112455,112025,,,
ef5e6168aaddd1a1c740a1cb0ee7f6f9,315,"The Tennis Courts, The Regent's Park",112455,112025,,,
94b36e85a74f8770bd92c2ff9e08f5e1,1199,"The Tennis Courts, The Regent's Park",2043,2032,,,
c08920b7b11d439200ae8bb077394153,755,"The Vale, West Chelsea",129349,130758,,,
d0e55e67dacc8a9b14ec29a5e524ffc9,725,"Thessaly Road North, Nine Elms",66180,64531,,,
4f56e2a033268f4306f340b15608e22a,725,"Thessaly Road North, Wandsworth Road",66180,64531,,,
258e3205ac0c31909d8e1277ed5ef880,300050,"Thessaly Road North, Wandsworth Road",3690,3668,,,
7789685e97d0507f09fbd16bc6a91c2c,787,"Timber Lodge, Queen Elizabeth Olympic Park",92668,92014,,,
efd3a457337a783082102b932e67b399,300227,"Timber Lodge, Queen Elizabeth Olympic Park",1678,1669,,,
1aa9f598f26c9376ad9ebb875fa1530a,248,"Triangle Car Park, Hyde Park",349696,346536,,,
9ddbe1b664c0eaad7a0fe82fceb46ee8,1088,"Triangle Car Park, Hyde Park",3337,3087,,,
9fbe249a4040e81dcb47bc097a5857a0,200116,"Vereker Road North, West Kensington",3443,3343,,,
42ed59d606facc31db97e0aa2d256a79,633,"Vereker Road North, West Kensington",102180,98479,,,
b63fe8a7de761e2aa51561a7226fc33b,91,"Walnut Tree Walk, Vauxhall",81123,71397,,,
f59e284e4f0098cd7b5023d95f21efca,1076,"Walnut Tree Walk, Vauxhall",3040,2936,,,
b13e66b3b667a5ac0921899b46f2f6e0,200175,"Wandsworth Rd, Isley Court, Wandsworth Road",1906,1791,,,
df2e14e0bbf9d6970b6a5cda81f346bb,612,"Wandsworth Rd, Isley Court, Wandsworth Road",81835,76860,,,
170328a4b7bfd888a911ed30f76d8fd7,173,"Waterloo Roundabout, Waterloo",97063,99148,,,
b00b72af945183265c32ce120624bf12,213,"Wellington Arch, Hyde Park",387180,382637,,,
9f7b57b53fcff9103b46d99c42e7124d,1109,"Wellington Arch, Hyde Park",5709,5717,,,
098948d0c925395f4574bc57aa3a2d82,1040,"West Smithfield Rotunda, Farringdon",3881,3987,,,
ec11ce36e37594c3d7963e720e81851c,203,"West Smithfield Rotunda, Farringdon",152649,158846,,,
1aa893555841b45b46b3d3360c728b78,566,"Westfield Ariel Way, White City",66585,73097,,,
881eebfafe1661a190181534f264a6f6,200141,"Westfield Ariel Way, White City",3418,3776,,,
e13bc48e8eb621c6946d427153136a6a,200245,"Westfield Eastern Access Road, Shepherd's Bush",14,16,,,
10a04909209d0ac7f017b7354f98d369,555,"Westfield Eastern Access Road, Shepherd's Bush",764,1677,,,
07d1bac49b630f4450c1d75e5d3e633b,591,"Westfield Library Corner, Shepherd's Bush",56981,59298,,,
152a6aa35661df0b2e65bb1fc28f43a3,1151,"Whitehall Place, Strand",5369,7207,,,
9bea46b83ae384b614a1c5de4782ce87,229,"Whitehall Place, Strand",252777,280219,,,
d823b4a46ac3940cc36e292de738d76d,1150,"Whiteley's, Bayswater",5074,4952,,,
c02058e32e0650f38a4cb10f4d8f1940,224,"Whiteley's, Bayswater",135518,135146,,,
d3e6965b43a399334be7da3dbdc200fb,0,"Earnshaw Street , Covent Garden",0,8178,,,
