station_key,station_id,station_name,total_start_count,total_end_count
bc6fe8580caee472b85f46e5c593b9ef,792,"Blackfriars Road, Southwark",95302,97079
6897773f2216c53d8bd71cfd8302ae6c,300214,"Blackfriars Road, Southwark",3506,3559
c4b85d33075610e169f630e47947f1b3,200212,"Blackfriars Station, St. Paul's",5260,5419
6388e191840887d63dcefd9433b30fea,659,"Blackfriars Station, St. Paul's",59007,61679
1346ee0d9da52afc5c46d8a25d4b4a49,792,"Blackfriars road, Southwark",95302,97079
cd82b5747a15faa86b5bc0536794cc9d,742,"Blenheim Crescent, Ladbroke Grove",92472,92699
06fb72c5cd0b87c8c02f5dc34ca22ff2,300090,"Blenheim Crescent, Ladbroke Grove",2242,2176
18cb687f7c40717b6ef708fc7769d17f,200220,"Blythe Road West, Shepherd's Bush",2156,2107
2bd0700726366bef09d6ec7ccc959b04,657,"Blythe Road West, Shepherd's Bush",51487,50322
c7cf7e34f003e52b5e05de5efe3918c4,525,"Blythe Road, Olympia",7103,7075
04ab801f6a8f5cec699e5d6d772c0fc8,200153,"Blythe Road, Olympia",1826,1801
c88be07e2beb4c083f7d2095046bcbb5,28,"Bolsover Street, Fitzrovia",133371,129595
a3b0ad5029ed532f833a4c4946481369,1025,"Bolsover Street, Fitzrovia",3209,3196
400ae4e24ca1330768ba306ca217d3d9,502,"Bonner Gate, Victoria Park",74821,73813
1ad5b4fa93e8b3f5a19acb664aae3732,200241,"Bonner Gate, Victoria Park",3619,3508
b0d8b5be716294e3d9497a59e793c43b,462,"Bonny Street, Camden Town",132761,128194
fb831b6fc1eaaafc831abcc98f080b50,200105,"Bonny Street, Camden Town",3677,3501
69308a9e0870c8fbb6177b593cf64aa2,125,"Borough High Street, The Borough",97357,96996
d3b2c1be5b8408249ebedf54880476c7,996,"Borough High Street, The Borough",2348,2363
2b23f92622a3394429d9e084e9f6b9ae,1082,"Borough Road, Elephant & Castle",2543,2570
51ee134be586a3514c7fd291519dbb6b,92,"Borough Road, Elephant & Castle",76393,77673
f0a2f873c0369d46e462662aef87417d,45,"Boston Place, Marylebone",153074,126013
77c96a78adda198e7ccd50020d9d677e,1035,"Boston Place, Marylebone",5044,4216
2ff66ef8c8fa2b9e7e3a386ce64c8be3,1180,"Bourne Street, Belgravia",3103,3101
f34cce2cefacd2d15fb6d50900afa24e,137,"Bourne Street, Belgravia",18823,19081
ef35ac81ad42de697c582ec5c9cc4ef5,259,"Bourne Street, Belgravia",59273,60836
